# torsion=torsion-5
# dihedral_0based=16,13,10,9
# dihedral_1based=17,14,11,10
angle_deg initial_sage B3LYP-D3BJ_DZVP final_sage
-180.000000  0.544585  0.668653  0.544981
-164.347826  1.672926  1.647753  1.656969
-148.695652  2.862567  2.703120  2.826310
-133.043478  3.322853  3.132242  3.277318
-117.391304  2.673200  2.606708  2.640105
-101.739130  1.362614  1.371599  1.348536
-86.086957  0.238036  0.249343  0.236573
-70.434783 -0.000434  0.000284 -0.000598
-54.782609  1.155068  0.711958  1.150940
-39.130435  2.737858  2.311021  2.721579
-23.478261  4.585471  4.123806  4.554280
-7.826087  4.265765  4.939509  4.226235
 7.826087  3.658041  4.279116  3.625348
 23.478261  2.248988  2.626737  2.230761
 39.130435  0.803621  0.918883  0.797974
 54.782609  0.000000  0.000000  0.000000
 70.434783  0.238979  0.250708  0.236015
 86.086957  1.361025  1.372013  1.347159
 101.739130  2.673259  2.606633  2.640171
 117.391304  3.323694  3.132217  3.278152
 133.043478  2.862528  2.700135  2.826184
 148.695652  1.673583  1.648527  1.657644
 164.347826  0.544604  0.668661  0.545006
 180.000000  0.097310  0.269261  0.103125
