# torsion=torsion-1
# dihedral_0based=17,12,11,9
# dihedral_1based=18,13,12,10
angle_deg initial_sage B3LYP-D3BJ_DZVP final_sage
-180.000000  0.770784  0.585502  0.667997
-164.347826  0.030787  0.316547  0.219441
-148.695652 -0.162152  0.059706  0.051869
-133.043478  0.142999  0.002525  0.075204
-117.391304  0.606929  0.058538  0.135950
-101.739130  0.804884  0.086329  0.151244
-86.086957  0.513292  0.044979  0.089106
-70.434783  0.000006  0.000001  0.000006
-54.782609 -0.254369  0.112269 -0.009263
-39.130435  0.074567  0.390158  0.254733
-23.478261  0.922867  0.610491  0.827974
-7.826087  1.541910  0.684184  1.226594
 7.826087  0.906901  0.610733  0.817987
 23.478261  0.069609  0.390188  0.251940
 39.130435 -0.254544  0.112126 -0.009685
 54.782609  0.000000  0.000000  0.000000
 70.434783  0.516369  0.044798  0.092217
 86.086957  0.804803  0.086397  0.151172
 101.739130  0.607947  0.057951  0.136850
 117.391304  0.140946  0.001794  0.073220
 133.043478 -0.160218  0.060321  0.053900
 148.695652  0.043202  0.316656  0.229529
 164.347826  0.752494  0.585185  0.654069
 180.000000  1.238606  0.683647  0.923118
