# torsion=torsion-2
# dihedral_0based=4,7,10,13
# dihedral_1based=5,8,11,14
angle_deg initial_sage B3LYP-D3BJ_DZVP final_sage
-180.000000  0.192737  0.547887  0.595504
-164.347826  1.390369  1.765583  1.701171
-148.695652  2.653914  2.991016  2.879940
-133.043478  3.149639  3.479308  3.383759
-117.391304  2.487767  2.817211  2.767242
-101.739130  1.171355  1.364772  1.401779
-86.086957  0.097204  0.131544  0.205898
-70.434783 -0.000000  0.000001 -0.000001
-54.782609  0.948543  1.101430  0.920674
-39.130435  2.525928  2.928090  2.594058
-23.478261  4.065606  4.600379  4.330739
-7.826087  4.722890  5.288772  5.111416
 7.826087  4.065756  4.600621  4.330881
 23.478261  2.867724  2.729205  2.927021
 39.130435  1.161157  0.824409  1.131934
 54.782609  0.000000  0.000000  0.000000
 70.434783  0.097205  0.131543  0.205899
 86.086957  1.171356  1.364772  1.401781
 101.739130  2.487771  2.817211  2.767246
 117.391304  3.149638  3.479308  3.383760
 133.043478  2.653915  2.991017  2.879941
 148.695652  1.390370  1.765582  1.701172
 164.347826  0.192788  0.547885  0.595553
 180.000000 -0.284281  0.061880  0.154362
