# torsion=torsion-8
# dihedral_0based=3,4,9,10
# dihedral_1based=4,5,10,11
angle_deg initial_sage B3LYP-D3BJ_DZVP final_sage
-180.000000  0.089159  0.282028  0.283062
-164.347826  0.440630  1.051564  1.044732
-148.695652  1.008414  1.973104  1.885488
-133.043478  1.646438  2.509501  2.450953
-117.391304  2.054241  2.636294  2.585853
-101.739130  2.212948  2.660359  2.602753
-86.086957  2.027518  2.627193  2.575646
-70.434783  1.572664  2.467529  2.395080
-54.782609  0.915889  1.856504  1.780227
-39.130435  0.381817  0.959449  0.954368
-23.478261  0.089860  0.251005  0.268490
-7.826087  0.000000  0.000000  0.000000
 7.826087  0.089684  0.251043  0.268309
 23.478261  0.381062  0.959958  0.953464
 39.130435  0.915295  1.856691  1.779629
 54.782609  1.579644  2.467443  2.402115
 70.434783  2.028507  2.626694  2.576702
 86.086957  2.213570  2.660874  2.603377
 101.739130  2.055154  2.636170  2.586804
 117.391304  1.648942  2.509387  2.453391
 133.043478  1.007805  1.973112  1.884879
 148.695652  0.446360  1.051586  1.050174
 164.347826  0.089291  0.282077  0.283183
 180.000000 -0.029788  0.000270 -0.029787
