# torsion=torsion-3
# dihedral_0based=3,4,9,10
# dihedral_1based=4,5,10,11
angle_deg initial_sage B3LYP-D3BJ_DZVP final_sage
-180.000000  0.122604  0.261964  0.161425
-164.347826  0.986174  1.147460  1.066119
-148.695652  2.558654  2.630468  2.624283
-133.043478  4.520247  4.496559  4.583752
-117.391304  6.284139  6.239359  6.363665
-101.739130  7.049646  7.067000  7.152980
-86.086957  6.505607  6.531816  6.622316
-70.434783  4.829368  4.981095  4.932242
-54.782609  2.933143  3.099923  2.974791
-39.130435  1.334160  1.457337  1.320031
-23.478261  0.355150  0.385858  0.335236
-7.826087  0.000000  0.000000  0.000000
 7.826087  0.267852  0.299713  0.278623
 23.478261  1.153192  1.290354  1.198602
 39.130435  2.743423  2.892631  2.784769
 54.782609  4.756198  4.791827  4.811016
 70.434783  6.446717  6.415192  6.521794
 86.086957  7.055905  7.072141  7.167584
 101.739130  6.320240  6.357090  6.434975
 117.391304  4.673114  4.682185  4.763109
 133.043478  2.794948  2.826014  2.821468
 148.695652  1.230947  1.305270  1.219213
 164.347826  0.262592  0.345549  0.253912
 180.000000 -0.077658  0.000029 -0.066819
